camera,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2
DSC05356,-0.9951699723673082,-0.08310921880112639,0.05224541940416849,-0.06727018001023301,0.18974428510844116,-0.9795263289723648,0.07149439824099373,-0.9783097485045077,-0.19441858707748355,-1.299083916772483,3.418793563160542,-2.479695327733385
DSC05357,-0.9957636617320027,-0.08216477987554269,0.0412756456288396,-0.06380813448284016,0.2942578039982707,-0.9535936591441531,0.06620613225293945,-0.952187635780952,-0.29825400972658733,-1.273568735593598,3.2677512245225744,-2.196769135477074
DSC05358,-0.9957922353107194,-0.08245429991933516,0.039988904957419955,-0.06444301959218303,0.31982643201169453,-0.9452820481806001,0.06515306071646025,-0.9438815295424959,-0.3237942817095386,-1.2391386673440943,3.0422907953526903,-1.839404747179789
DSC05359,-0.9966387152298108,-0.07775247386596376,0.02580356783072195,-0.05986614567858831,0.4762283001692484,-0.8772813976823501,0.055922409700066456,-0.8758773652319319,-0.4792823021640874,-1.2098252474665134,2.842656916918012,-1.4941234285314007
DSC05360,-0.9969687341496847,-0.07567918147725322,0.018055597993657673,-0.0596741924846031,0.5948795255406004,-0.8015967445317508,0.04992327993317484,-0.8002443449244259,-0.5975923815923282,-1.1715255222035694,2.5761103569069435,-1.134154620770166
DSC05361,-0.9973138057751385,-0.07287930683151762,0.007333447079455454,-0.05547639397341802,0.6861800632474604,-0.7253132361355449,0.047828260704480735,-0.7237717371087853,-0.6883799314626453,-1.1450400690130456,2.234577977210999,-0.8969673474471193
DSC05362,-0.9977876040604534,-0.06634773047644363,-0.004227983434804586,-0.05032401846447057,0.7953077400027521,-0.6041134759772395,0.043444106031628904,-0.6025641686595213,-0.7968870888016522,-1.0965208875150545,1.9633494482484004,-0.4311972982366493
DSC05363,-0.997999473392049,-0.06293377448343221,-0.006032506814034435,-0.04660825244635794,0.7968510582681538,-0.602375349546128,0.04271676384148784,-0.6008891170309142,-0.7981901697720406,-1.0799866095128123,1.8670502162199725,-0.21709232715566443
DSC05364,-0.989048377605048,-0.058333373853867915,0.1355747920951652,-0.12778836623948175,0.7980669441424514,-0.5888627056631905,-0.0738474116720856,-0.5997385848533963,-0.7967811428663328,-1.049134589639453,1.847857088922981,-0.24811116078873954
DSC05365,-0.9879298359051687,-0.06539240022961854,0.14042248153552936,-0.14144429049033977,0.7504040689394794,-0.6456680617831098,-0.06315181720323695,-0.6577367005962816,-0.7505959503438892,-1.0607433297324953,2.0634689111047217,-0.3386403349114418
DSC05366,-0.986547214516823,-0.06828547574655429,0.14853177212692428,-0.1549024143909978,0.680861602674975,-0.7158440612442797,-0.05224782813608066,-0.7292218947651882,-0.6822797026514357,-1.095054598919193,2.5163497145918354,-0.6407598755353349
DSC05367,-0.9845151464516086,-0.06984927268601611,0.1607824788731729,-0.17295168309777068,0.5366419588253044,-0.825895346482706,-0.028594435140705362,-0.8409140783298701,-0.5404126859591741,-1.1371441319544635,2.7944789016511624,-1.0082538878708942
DSC05368,-0.9898325015918303,-0.05537344733340019,0.13101679328572502,-0.1116065774615601,0.8733940647793316,-0.47405356182139746,-0.08817930970344492,-0.48385595887479993,-0.8706938729551118,-1.025993083493144,1.6565608125454037,-0.03563732023521092
DSC05369,-0.9912352313968995,-0.04941157511845264,0.12252025253748278,-0.09583963412979724,0.9072696227416839,-0.40948332832977397,-0.09092568706037722,-0.4176365978868184,-0.9040532017188601,-1.0022769432382161,1.4633192604251903,0.12547480990847912
DSC05370,-0.991934830874319,-0.043095871639880406,0.11919747122290514,-0.0813929491581396,0.9374800354641981,-0.3383879000989643,-0.0971621280421382,-0.34536057816960697,-0.9334268005155404,-0.9920179577404886,1.331638221734526,0.25211184794469893
